date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-16,Somalia,1,0,1,0,1,2020,3,16,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-17,Somalia,1,0,0,0,1,2020,3,17,1,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-18,Somalia,1,0,0,0,1,2020,3,18,2,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-19,Somalia,1,0,0,0,1,2020,3,19,3,0,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-20,Somalia,1,0,0,0,1,2020,3,20,4,0,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-21,Somalia,1,0,0,0,1,2020,3,21,5,1,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-22,Somalia,1,0,0,0,1,2020,3,22,6,1,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-03-23,Somalia,1,0,0,0,1,2020,3,23,0,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-24,Somalia,1,0,0,0,1,2020,3,24,1,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-25,Somalia,1,0,0,0,1,2020,3,25,2,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-26,Somalia,2,0,1,0,1,2020,3,26,3,0,1,0.0,1.0,,0.14285714285714285,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.0073528379990177506,,2.1221555158005087e-06,0.0
2020-03-27,Somalia,3,0,1,0,1,2020,3,27,4,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-28,Somalia,3,0,0,0,1,2020,3,28,5,1,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-29,Somalia,3,0,0,0,1,2020,3,29,6,1,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-30,Somalia,3,0,0,0,1,2020,3,30,0,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-31,Somalia,5,0,2,0,1,2020,3,31,1,0,1,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-04-01,Somalia,5,0,0,0,1,2020,4,1,2,0,2,0.0,4.0,,0.5714285714285714,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.021118361046797166,,8.488622063202035e-06,0.0
2020-04-02,Somalia,5,0,0,0,1,2020,4,2,3,0,2,0.0,1.5,,0.42857142857142855,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.00964709184031432,,6.3664665474015265e-06,0.0
2020-04-03,Somalia,7,0,2,0,1,2020,4,3,4,0,2,0.0,1.3333333333333335,,0.5714285714285714,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.008882340559882131,,8.488622063202035e-06,0.0
2020-04-04,Somalia,7,0,0,0,1,2020,4,4,5,1,2,0.0,1.3333333333333335,,0.5714285714285714,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.008882340559882131,,8.488622063202035e-06,0.0
2020-04-05,Somalia,7,0,0,0,1,2020,4,5,6,1,2,0.0,1.3333333333333335,,0.5714285714285714,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.008882340559882131,,8.488622063202035e-06,0.0
